date,variant,signal_time,nearest_option_tick_time,entry_option_tick_time,signal_to_entry_ms,nearest_tick_lag_ms,option_tick_gap_before_entry_ms,option_tick_gap_after_entry_ms,selected_expiry,selected_strike,atm_distance_points,spread_at_entry,bid_at_entry,ask_at_entry,ltp_at_entry,top_depth_at_entry,direction,symbol,entry_time,exit_time,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,hold_seconds,mfe,mae,sensex_at_entry,sensex_move_3s,option_move_1s,option_move_3s,sync_passed,vacuum_available,vacuum_passed,spread_now,median_spread_10s,top_depth_now,median_top_depth_10s,time_bucket,regime
2026-04-28,A_impulse_only,2026-04-28T09:15:01.201783,2026-04-28T14:45:01,2026-04-28T14:45:02,798.217,-201.783,1000.0,1000.0,2026-04-30,77200,0,0.75,332.4,333.15,332.85,80.0,CE,BFO:SENSEX26APR77200CE,2026-04-28T14:45:02,2026-04-28T14:45:03,332.85,329.45,-3.400000000000034,-1700.000000000017,-1700.000000000017,STOP_HIT,1.0,0.0,-3.400000000000034,77151.27,56.48000000001048,0.9000000000000341,0.5,True,True,False,0.7999999999999545,0.8499999999999659,180.0,120.0,14:00-15:00,clean_trend_impulse
2026-04-28,A_impulse_only,2026-04-28T09:15:19.200532,2026-04-28T14:45:19,2026-04-28T14:45:20,799.468,-200.532,1000.0,0.0,2026-04-30,77000,0,0.5500000000000114,402.75,403.3,403.8,60.0,PE,BFO:SENSEX26APR77000PE,2026-04-28T14:45:20,2026-04-28T14:45:22,403.8,407.75,3.9499999999999886,1974.9999999999943,1974.9999999999943,TARGET_HIT,2.0,3.9499999999999886,0.0,76980.53,-26.279999999998836,-0.5,-3.599999999999966,False,True,False,0.8499999999999659,0.5999999999999659,80.0,140.0,14:00-15:00,late_session_impulse
2026-04-28,A_impulse_only,2026-04-28T09:16:03.203073,2026-04-28T14:46:03,2026-04-28T14:46:04,796.927,-203.073,1000.0,1000.0,2026-04-30,77100,0,0.75,364.4,365.15,364.9,100.0,CE,BFO:SENSEX26APR77100CE,2026-04-28T14:46:04,2026-04-28T14:46:07,364.9,368.5,3.6000000000000227,1800.0000000000114,1800.0000000000114,TARGET_HIT,3.0,3.6000000000000227,0.0,77101.89,29.139999999999418,1.5500000000000114,-2.25,True,True,False,0.9000000000000341,0.9250000000000114,120.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T09:16:19.207894,2026-04-28T14:46:19,2026-04-28T14:46:20,792.106,-207.894,1000.0,1000.0,2026-04-30,77100,0,0.9000000000000341,370.45,371.35,371.0,80.0,CE,BFO:SENSEX26APR77100CE,2026-04-28T14:46:20,2026-04-28T14:46:21,371.0,369.85,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,77099.57,28.14000000001397,1.6000000000000227,1.25,True,True,False,1.0499999999999545,1.0499999999999545,160.0,160.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T09:17:21.200370,2026-04-28T14:47:21,2026-04-28T14:47:22,799.63,-200.37,1000.0,0.0,2026-04-30,77200,0,0.8000000000000114,323.5,324.3,324.25,60.0,CE,BFO:SENSEX26APR77200CE,2026-04-28T14:47:22,2026-04-28T14:47:23,324.25,323.1,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,77205.73,25.169999999998254,0.6999999999999886,1.0,True,True,False,0.44999999999998863,0.8499999999999943,100.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T09:18:57.201672,2026-04-28T14:48:57,2026-04-28T14:48:58,798.328,-201.672,1000.0,1000.0,2026-04-30,77200,0,0.6000000000000227,336.95,337.55,337.55,60.0,CE,BFO:SENSEX26APR77200CE,2026-04-28T14:48:58,2026-04-28T14:48:59,337.55,337.05,-0.5,-250.0,-250.0,KILL_1S,1.0,0.0,-0.5,77193.39,27.05999999999767,-0.6500000000000341,-0.5500000000000114,False,True,False,0.9499999999999886,0.8999999999999773,160.0,120.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T09:20:15.452542,2026-04-28T14:50:15,2026-04-28T14:50:16,547.458,-452.542,1000.0,2000.0,2026-04-30,77300,0,0.9000000000000341,287.2,288.1,287.45,200.0,CE,BFO:SENSEX26APR77300CE,2026-04-28T14:50:16,2026-04-28T14:50:19,287.45,287.65,0.19999999999998863,99.99999999999432,99.99999999999432,KILL_3S,3.0,0.6000000000000227,0.0,77264.78,25.75999999999476,0.6500000000000341,-1.599999999999966,True,True,False,0.8499999999999659,0.8499999999999943,260.0,180.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T09:22:25.698007,2026-04-28T14:52:26,2026-04-28T14:52:26,301.993,301.993,1000.0,1000.0,2026-04-30,77200,0,1.3500000000000227,492.15,493.5,493.65,180.0,PE,BFO:SENSEX26APR77200PE,2026-04-28T14:52:26,2026-04-28T14:52:27,493.65,493.5,-0.14999999999997726,-74.99999999998863,-74.99999999998863,KILL_1S,1.0,0.0,-0.14999999999997726,77186.74,-27.129999999990105,-0.25,-0.4500000000000455,False,True,False,1.3500000000000227,1.325000000000017,180.0,140.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T09:15:01.201783,2026-04-28T14:45:01,2026-04-28T14:45:02,798.217,-201.783,1000.0,1000.0,2026-04-30,77200,0,0.75,332.4,333.15,332.85,80.0,CE,BFO:SENSEX26APR77200CE,2026-04-28T14:45:02,2026-04-28T14:45:03,332.85,329.45,-3.400000000000034,-1700.000000000017,-1700.000000000017,STOP_HIT,1.0,0.0,-3.400000000000034,77151.27,56.48000000001048,0.9000000000000341,0.5,True,True,False,0.7999999999999545,0.8499999999999659,180.0,120.0,14:00-15:00,clean_trend_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T09:15:30.202021,2026-04-28T14:45:30,2026-04-28T14:45:31,797.979,-202.021,1000.0,1000.0,2026-04-30,77100,0,1.0,356.9,357.9,358.3,140.0,CE,BFO:SENSEX26APR77100CE,2026-04-28T14:45:31,2026-04-28T14:45:32,358.3,357.6,-0.6999999999999886,-349.9999999999943,-349.9999999999943,KILL_1S,1.0,0.0,-0.6999999999999886,77076.37,50.94999999999709,3.0,-0.39999999999997726,True,True,False,0.75,1.0,120.0,120.0,14:00-15:00,choppy_fake_impulse
