variant,cost_model,latency_ms,trades,net_pnl,win_rate,profit_factor,max_dd,avg_pnl_per_trade
A_impulse_only,ltp_ltp,0,56,7200.000000000036,0.32142857142857145,1.5236363636363668,-5999.999999999925,128.5714285714292
A_impulse_only,ltp_ltp,250,56,2949.9999999999964,0.2857142857142857,1.1999999999999995,-7049.99999999992,52.67857142857137
A_impulse_only,ltp_ltp,500,56,-6849.999999999991,0.25,0.7240684793554892,-15775.0,-122.32142857142841
A_impulse_only,ltp_ltp,1000,56,-6250.000000000096,0.25,0.7729336966394162,-14475.00000000012,-111.60714285714458
A_impulse_only,ltp_ltp,2000,56,-16325.000000000058,0.26785714285714285,0.47338709677419216,-19850.000000000065,-291.5178571428582
A_impulse_only,one_point_roundtrip,0,56,-20799.999999999964,0.19642857142857142,0.4144968332160459,-25224.999999999975,-371.42857142857076
A_impulse_only,one_point_roundtrip,250,56,-25050.000000000004,0.16071428571428573,0.3320000000000003,-29475.000000000015,-447.3214285714286
A_impulse_only,one_point_roundtrip,500,56,-34849.99999999999,0.16071428571428573,0.27092050209205093,-38275.0,-622.3214285714284
A_impulse_only,one_point_roundtrip,1000,56,-34250.000000000095,0.17857142857142858,0.3070308548305513,-37975.000000000124,-611.6071428571446
A_impulse_only,one_point_roundtrip,2000,56,-44325.00000000006,0.14285714285714285,0.17381174277725922,-45350.000000000065,-791.5178571428581
B_impulse_plus_option_sync,buy_ask_plus_0_25_sell_bid_minus_0_25,0,36,-22450.000000000022,0.19444444444444445,0.2804487179487171,-24250.000000000004,-623.6111111111118
B_impulse_plus_option_sync,buy_ask_plus_0_25_sell_bid_minus_0_25,250,36,-22475.000000000015,0.19444444444444445,0.280224179343474,-24274.999999999996,-624.305555555556
B_impulse_plus_option_sync,buy_ask_plus_0_25_sell_bid_minus_0_25,500,36,-24249.999999999993,0.19444444444444445,0.21962992759452982,-26049.999999999975,-673.6111111111109
B_impulse_plus_option_sync,buy_ask_plus_0_25_sell_bid_minus_0_25,1000,36,-22624.99999999993,0.2222222222222222,0.2420435510887783,-23799.99999999994,-628.4722222222204
B_impulse_plus_option_sync,buy_ask_plus_0_25_sell_bid_minus_0_25,2000,36,-32975.0,0.1388888888888889,0.15012886597938174,-36250.000000000044,-915.9722222222222
B_impulse_plus_option_sync,buy_ask_sell_bid,0,36,-13450.000000000022,0.2777777777777778,0.44707091469681226,-15500.000000000002,-373.6111111111117
B_impulse_plus_option_sync,buy_ask_sell_bid,250,36,-13475.000000000015,0.2777777777777778,0.4437564499483993,-15524.999999999998,-374.30555555555594
B_impulse_plus_option_sync,buy_ask_sell_bid,500,36,-15249.999999999993,0.2777777777777778,0.36656282450675015,-17299.999999999978,-423.6111111111109
B_impulse_plus_option_sync,buy_ask_sell_bid,1000,36,-13624.999999999936,0.3055555555555556,0.41334768568353303,-15049.999999999947,-378.47222222222047
B_impulse_plus_option_sync,buy_ask_sell_bid,2000,36,-23975.000000000004,0.16666666666666666,0.22909967845659235,-28000.00000000004,-665.9722222222223
B_impulse_plus_option_sync,half_point_roundtrip,0,36,-5399.999999999902,0.2222222222222222,0.7343173431734361,-12049.999999999964,-149.99999999999727
B_impulse_plus_option_sync,half_point_roundtrip,250,36,-7324.999999999925,0.19444444444444445,0.6465621230398104,-13874.999999999993,-203.47222222222015
B_impulse_plus_option_sync,half_point_roundtrip,500,36,-7499.999999999938,0.2222222222222222,0.6613995485327343,-14300.000000000004,-208.3333333333316
B_impulse_plus_option_sync,half_point_roundtrip,1000,36,-6650.000000000043,0.25,0.695303550973653,-11375.000000000122,-184.72222222222342
