bucket,variant_name,date,timestamp,symbol,side,strike,atm_distance_points,atm_distance_abs,ltp,spread,spread_pct,depth_min_qty,score,score_components,entry_price,exit_price,points_pnl,gross_pnl,net_pnl,exit_reason,rank_score,candle_context,context_agrees,loose_context_agrees
top_loser,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,2026-04-30,2026-04-30 09:48:11,BFO:SENSEX26APR76800CE,CALL,76800.0,100,100,130.75,0.3499999999999943,0.0026768642447418303,260.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",130.75,123.0,-7.75,-17670.0,-17670.0,EDGE_HARD_STOP,4419.965310208522,bullish,True,True
top_loser,LOOSE_CTX_ATM100_SCORE4_P80_300,2026-04-30,2026-04-30 09:48:11,BFO:SENSEX26APR76800CE,CALL,76800.0,100,100,130.75,0.3499999999999943,0.0026768642447418303,260.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",130.75,123.0,-7.75,-17670.0,-17670.0,EDGE_HARD_STOP,4419.965310208522,bullish,True,True
top_loser,CTX_ATM100_SCORE4_P80_300,2026-04-30,2026-04-30 09:48:11,BFO:SENSEX26APR76800CE,CALL,76800.0,100,100,130.75,0.3499999999999943,0.0026768642447418303,260.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",130.75,123.0,-7.75,-17670.0,-17670.0,EDGE_HARD_STOP,4419.965310208522,bullish,True,True
top_loser,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,2026-04-30,2026-04-30 13:55:24,BFO:SENSEX26APR77200CE,CALL,77200.0,100,100,105.85,0.8000000000000114,0.007557864903164964,580.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",105.85,100.0,-5.849999999999994,-16496.999999999985,-16496.999999999985,EARLY_FAIL_3S,4962.265618031786,neutral,False,True
top_loser,ATM100_SCORE4_STRONG_TRANSMISSION,2026-04-30,2026-04-30 13:55:24,BFO:SENSEX26APR77200CE,CALL,77200.0,100,100,105.85,0.8000000000000114,0.007557864903164964,580.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",105.85,100.0,-5.849999999999994,-16496.999999999985,-16496.999999999985,EARLY_FAIL_3S,4962.265618031786,neutral,False,True
top_loser,ATM100_SCORE4_TRANSMISSION,2026-04-30,2026-04-30 13:55:24,BFO:SENSEX26APR77200CE,CALL,77200.0,100,100,105.85,0.8000000000000114,0.007557864903164964,580.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",105.85,100.0,-5.849999999999994,-16496.999999999985,-16496.999999999985,EARLY_FAIL_3S,4962.265618031786,neutral,False,True
top_loser,LOOSE_CTX_ATM100_SCORE4_P80_300,2026-04-30,2026-04-30 13:55:24,BFO:SENSEX26APR77200CE,CALL,77200.0,100,100,105.85,0.8000000000000114,0.007557864903164964,580.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 0, ""opt_velocity"": 1}",105.85,100.0,-5.849999999999994,-16496.999999999985,-16496.999999999985,EARLY_FAIL_3S,4962.265618031786,neutral,False,True
top_loser,ATM100_SCORE4_P80_300_SPREAD1P5_DEPTH250,2026-04-30,2026-04-30 13:24:59,BFO:SENSEX26APR76900CE,CALL,76900.0,0,0,116.4,0.3500000000000085,0.00300687285223375,300.0,4,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 0}",116.4,110.4,-6.0,-15360.0,-15360.0,EDGE_HARD_STOP,4161.237470609195,bearish,False,False
top_loser,ATM100_SCORE4_STRONG_TRANSMISSION,2026-04-30,2026-04-30 13:58:09,BFO:SENSEX26APR77100PE,PUT,77100.0,0,0,99.55,0.3499999999999943,0.0035158211953791496,340.0,5,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 1}",99.55,94.8,-4.75,-14250.0,-14250.0,PROMOTED_FAIL_3S,6470.8268770758195,neutral,False,True
top_loser,ATM100_SCORE4_TRANSMISSION,2026-04-30,2026-04-30 13:58:09,BFO:SENSEX26APR77100PE,PUT,77100.0,0,0,99.55,0.3499999999999943,0.0035158211953791496,340.0,5,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 1}",99.55,94.8,-4.75,-14250.0,-14250.0,PROMOTED_FAIL_3S,6470.8268770758195,neutral,False,True
top_loser,LOOSE_CTX_ATM100_SCORE4_P80_300,2026-04-30,2026-04-30 13:58:09,BFO:SENSEX26APR77100PE,PUT,77100.0,0,0,99.55,0.3499999999999943,0.0035158211953791496,340.0,5,"{""ind_accel_threshold_1"": 2, ""ind_accel_threshold_2"": 1, ""ind_velocity_band"": 0, ""opt_depth_imbalance"": 1, ""opt_velocity"": 1}",99.55,94.8,-4.75,-14250.0,-14250.0,PROMOTED_FAIL_3S,6470.8268770758195,neutral,False,True
