date,scenario,offset_points,target_points,trades_taken,trades_dropped_by_offset_proxy,target_hit_count_under_model,net_pnl_model,delta_vs_actual,baseline_actual_net
2026-03-24,conservative_open_only,1,1.0,57,0,43,-36750.0,-14950.0,-21800.0
2026-03-24,conservative_open_only,2,1.0,57,0,43,-36750.0,-14950.0,-21800.0
2026-03-24,conservative_open_only,3,1.0,57,0,43,-36750.0,-14950.0,-21800.0
2026-03-24,conservative_open_only,4,1.0,57,0,43,-36750.0,-14950.0,-21800.0
2026-03-24,conservative_open_only,5,1.0,57,0,43,-36750.0,-14950.0,-21800.0
2026-03-24,optimistic_open_plus15s,1,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,optimistic_open_plus15s,2,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,optimistic_open_plus15s,3,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,optimistic_open_plus15s,4,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,optimistic_open_plus15s,5,6.0,57,0,34,86150.0,107950.0,-21800.0
2026-03-24,optimistic_open_plus15s,1,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,optimistic_open_plus15s,2,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,optimistic_open_plus15s,3,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,optimistic_open_plus15s,4,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,optimistic_open_plus15s,5,5.0,57,0,40,82950.0,104750.0,-21800.0
2026-03-24,optimistic_open_plus15s,1,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,optimistic_open_plus15s,2,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,optimistic_open_plus15s,3,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,optimistic_open_plus15s,4,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,optimistic_open_plus15s,5,4.0,57,0,48,70075.0,91875.0,-21800.0
2026-03-24,optimistic_open_plus15s,6,6.0,37,20,26,63650.0,85450.0,-21800.0
2026-03-24,optimistic_open_plus15s,6,5.0,37,20,30,59500.0,81300.0,-21800.0
2026-03-24,optimistic_open_plus15s,7,6.0,25,32,20,58625.0,80425.0,-21800.0
2026-03-24,optimistic_open_plus15s,7,5.0,25,32,23,55975.0,77775.0,-21800.0
2026-03-24,optimistic_open_plus15s,1,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,optimistic_open_plus15s,2,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,optimistic_open_plus15s,3,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,optimistic_open_plus15s,4,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,optimistic_open_plus15s,5,3.0,57,0,52,55900.0,77700.0,-21800.0
2026-03-24,optimistic_open_plus15s,1,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,optimistic_open_plus15s,2,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,optimistic_open_plus15s,3,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,optimistic_open_plus15s,4,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,optimistic_open_plus15s,5,2.0,57,0,54,48250.0,70050.0,-21800.0
2026-03-24,optimistic_open_plus15s,6,4.0,37,20,32,45500.0,67300.0,-21800.0
2026-03-24,optimistic_open_plus15s,7,4.0,25,32,23,44475.0,66275.0,-21800.0
2026-03-24,optimistic_open_plus15s,7,3.0,25,32,25,37500.0,59300.0,-21800.0
2026-03-24,optimistic_open_plus15s,8,6.0,16,41,12,37475.0,59275.0,-21800.0
2026-03-24,optimistic_open_plus15s,9,6.0,15,42,12,36475.0,58275.0,-21800.0
