trade_id,signal_kind,signal_family,direction,entry_time,trigger_time_proxy,source_candle_start,entry_price,target_price,quantity,exit_time,exit_reason,holding_seconds,realized_points,realized_pnl,early_failure_logged,early_failure_mark_time,early_failure_duration_seconds,spot_revert_toward_trigger_testable,spot_revert_toward_trigger,spot_revert_note,mark_count,first_mark_time,last_mark_time,first_favorable_seconds,first_favorable_points,first_adverse_seconds,first_adverse_points,mfe_points,mae_points,max_drawdown_points,runup_5s,runup_10s,runup_15s,drawdown_5s,drawdown_10s,drawdown_15s,drawdown_20s,time_to_minus_1,time_to_minus_2,time_to_minus_3,time_to_plus_0_5,time_to_plus_1,option_premium_failed_confirmation,move_stalled,time_near_entry_before_damage_accel_seconds,loss_expansion_pattern,spot_revert_proxy_from_option_path,focus_manual_or_time_stop,focus_top10_pnl,focus_top10_drawdown,focus_major_loser
BFO:SENSEX2631975100CE|2026-03-19T09:25:27.273627,CONTINUATION_CALL,CONTINUATION,CALL,2026-03-19 09:25:27.273627,2026-03-19 09:25:27.273821,2026-03-19 09:25:00,376.9,379.9,1520,2026-03-19 09:25:29.482535,TARGET_HIT,2.208908,3.0,4560.0,True,2026-03-19 09:25:28.384888,1.111261,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,2,2026-03-19 09:25:28.384888,2026-03-19 09:25:29.482535,2.208908,5.850000000000023,1.111261,-4.349999999999966,5.850000000000023,-4.349999999999966,4.349999999999966,5.850000000000023,5.850000000000023,5.850000000000023,-4.349999999999966,-4.349999999999966,-4.349999999999966,-4.349999999999966,1.111261,1.111261,1.111261,2.208908,2.208908,False,False,0.0,immediate,False,False,False,False,False
BFO:SENSEX2631974800CE|2026-03-19T10:35:04.437831,REVERSAL_CALL,REVERSAL,CALL,2026-03-19 10:35:04.437831,2026-03-19 10:35:04.438371,2026-03-19 10:35:00,385.0,388.0,1500,2026-03-19 10:35:37.333287,TARGET_HIT,32.895456,3.0,4500.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,30,2026-03-19 10:35:05.534831,2026-03-19 10:35:37.333287,1.097,2.8500000000000227,2.193436,-3.1499999999999773,6.699999999999989,-10.5,10.5,2.8500000000000227,2.8500000000000227,2.8500000000000227,-6.199999999999989,-6.199999999999989,-6.199999999999989,-7.949999999999989,2.193436,2.193436,2.193436,1.097,1.097,False,False,0.0,immediate,True,False,False,False,False
BFO:SENSEX2631975000CE|2026-03-19T10:40:10.409532,CONTINUATION_CALL,CONTINUATION,CALL,2026-03-19 10:40:10.409532,2026-03-19 10:40:10.409821,2026-03-19 10:40:00,328.25,331.25,1760,2026-03-19 10:44:51.236762,TARGET_HIT,280.82723,3.0,5280.0,True,2026-03-19 10:40:11.502669,1.093137,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,257,2026-03-19 10:40:11.502669,2026-03-19 10:44:51.236762,2.187104,0.5500000000000114,1.093137,-1.8500000000000227,3.1999999999999886,-50.89999999999998,50.89999999999998,0.5500000000000114,0.5500000000000114,0.5500000000000114,-1.8500000000000227,-17.55000000000001,-17.55000000000001,-17.55000000000001,1.093137,5.479337,5.479337,2.187104,279.714275,False,True,3.289634,immediate,True,False,False,True,True
BFO:SENSEX2631975400PE|2026-03-19T10:45:00.835766,REVERSAL_PUT,REVERSAL,PUT,2026-03-19 10:45:00.835766,2026-03-19 10:45:00.835949,2026-03-19 10:45:00,366.95,369.95,1580,2026-03-19 10:45:05.228671,TARGET_HIT,4.392905,3.0,4740.0,True,2026-03-19 10:45:01.932623,1.096857,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,4,2026-03-19 10:45:01.932623,2026-03-19 10:45:05.228671,4.392905,9.25,1.096857,-2.0,9.25,-2.099999999999966,2.099999999999966,9.25,9.25,9.25,-2.099999999999966,-2.099999999999966,-2.099999999999966,-2.099999999999966,1.096857,1.096857,,4.392905,4.392905,False,False,0.0,immediate,False,False,False,False,False
BFO:SENSEX2631975200PE|2026-03-19T10:50:02.819677,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 10:50:02.819677,2026-03-19 10:50:02.819829,2026-03-19 10:50:00,302.95,305.95,1900,2026-03-19 10:50:13.781588,TARGET_HIT,10.961911,3.0,5700.0,True,2026-03-19 10:50:05.000502,2.180825,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,10,2026-03-19 10:50:03.914025,2026-03-19 10:50:13.781588,6.580206,1.5500000000000114,1.094348,-1.0,4.199999999999989,-6.899999999999977,6.899999999999977,-1.0,2.5,4.199999999999989,-6.899999999999977,-6.899999999999977,-6.899999999999977,-6.899999999999977,1.094348,2.180825,2.180825,6.580206,6.580206,False,False,0.0,immediate,False,False,False,False,False
BFO:SENSEX2631975300PE|2026-03-19T10:55:37.447887,REVERSAL_PUT,REVERSAL,PUT,2026-03-19 10:55:37.447887,2026-03-19 10:55:37.448015,2026-03-19 10:55:00,366.0,369.0,1580,2026-03-19 10:55:38.542610,TARGET_HIT,1.094723,3.0,4740.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,1,2026-03-19 10:55:38.542610,2026-03-19 10:55:38.542610,1.094723,6.5,,,6.5,6.5,0.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,,,1.094723,1.094723,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975200PE|2026-03-19T11:00:21.384680,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 11:00:21.384680,2026-03-19 11:00:21.385138,2026-03-19 11:00:00,331.6,334.6,1740,2026-03-19 11:00:22.534086,TARGET_HIT,1.149406,3.0,5220.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,1,2026-03-19 11:00:22.534086,2026-03-19 11:00:22.534086,1.149406,3.8999999999999773,,,3.8999999999999773,3.8999999999999773,0.0,3.8999999999999773,3.8999999999999773,3.8999999999999773,3.8999999999999773,3.8999999999999773,3.8999999999999773,3.8999999999999773,,,,1.149406,1.149406,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975200PE|2026-03-19T11:05:08.760533,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 11:05:08.760533,2026-03-19 11:05:08.767700,2026-03-19 11:05:00,340.65,343.65,1700,2026-03-19 11:05:14.227583,TARGET_HIT,5.46705,3.0,5100.0,True,2026-03-19 11:05:12.035145,3.274612,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,5,2026-03-19 11:05:09.862193,2026-03-19 11:05:14.227583,5.46705,16.650000000000034,1.10166,-1.4499999999999886,16.650000000000034,-3.6499999999999773,3.6499999999999773,-0.19999999999998863,16.650000000000034,16.650000000000034,-3.6499999999999773,-3.6499999999999773,-3.6499999999999773,-3.6499999999999773,1.10166,3.274612,3.274612,5.46705,5.46705,False,False,2.188027,immediate,False,False,False,False,False
BFO:SENSEX2631975100PE|2026-03-19T11:10:12.973608,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 11:10:12.973608,2026-03-19 11:10:12.973740,2026-03-19 11:10:00,280.9,283.9,2060,2026-03-19 11:10:21.722279,TARGET_HIT,8.748671,3.0,6180.0,True,2026-03-19 11:10:15.156115,2.182507,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,8,2026-03-19 11:10:14.069476,2026-03-19 11:10:21.722279,6.549709,1.400000000000034,1.095868,-0.2999999999999545,3.3000000000000114,-1.8999999999999773,1.8999999999999773,-0.2999999999999545,3.3000000000000114,3.3000000000000114,-1.8999999999999773,-1.8999999999999773,-1.8999999999999773,-1.8999999999999773,2.182507,,,6.549709,6.549709,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631975000PE|2026-03-19T11:15:14.661355,CONTINUATION_PUT,CONTINUATION,PUT,2026-03-19 11:15:14.661355,2026-03-19 11:15:14.662814,2026-03-19 11:15:00,272.8,275.8,2120,2026-03-19 11:15:16.841854,TARGET_HIT,2.180499,3.0,6360.0,False,,,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,2,2026-03-19 11:15:15.759206,2026-03-19 11:15:16.841854,1.097851,2.5,,,4.449999999999989,2.5,0.0,4.449999999999989,4.449999999999989,4.449999999999989,2.5,2.5,2.5,2.5,,,,1.097851,1.097851,False,False,,no_accelerated_damage,False,False,False,False,False
BFO:SENSEX2631974700CE|2026-03-19T11:20:00.944840,CONTINUATION_CALL,CONTINUATION,CALL,2026-03-19 11:20:00.944840,2026-03-19 11:20:00.944977,2026-03-19 11:20:00,327.25,330.25,1780,2026-03-19 11:20:12.978775,TARGET_HIT,12.033935,3.0,5340.0,True,2026-03-19 11:20:04.241244,3.296404,False,,Underlying spot path is not logged post-entry in OPEN_POSITION_MARK events.,11,2026-03-19 11:20:02.046944,2026-03-19 11:20:12.978775,2.199827,0.14999999999997726,1.102104,-0.8000000000000114,3.8500000000000227,-3.5,3.5,0.14999999999997726,2.6999999999999886,3.8500000000000227,-2.1499999999999773,-3.5,-3.5,-3.5,3.296404,4.38561,6.561876,9.842808,9.842808,False,False,2.199827,immediate,True,False,False,False,False
