entry_date,trade_id,source_file,signal_family,signal_kind,side,symbol,entry_time,entry_hm,tod_bucket,source_candle_start,trigger_price,underlying_spot,entry_price,target_price,quantity,exit_time,exit_reason,exit_price,net_pnl_effective,holding_seconds,holding_bucket,tick_count,runup_5s,runup_10s,runup_15s,dd_5s,dd_10s,dd_15s,mfe_points,mae_points,first_plus_0_5_sec,first_minus_1_sec,early_failure_logged,early_behavior_class,pnl_severity,outcome_class,exit_path_class,trade_nature
2026-03-11,BFO:SENSEX2631278100CE|2026-03-11T09:20:53.143312,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631278100CE,2026-03-11 09:20:53.143312,09:20:53,PRE_1PM,2026-03-11 09:20:00,78314.62,78317.4,540.85,543.85,500.0,2026-03-11 09:21:44.502620,TARGET_HIT,543.85,1500.0,51.359308,SHORT_15_60S,24,-1.3999999999999773,-1.3999999999999773,-1.3999999999999773,-4.399999999999977,-4.600000000000023,-13.600000000000023,4.449999999999932,-14.25,21.51137,2.113012,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277300PE|2026-03-11T13:05:27.603061,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277300PE,2026-03-11 13:05:27.603061,13:05:27,POST_1PM,2026-03-11 13:05:00,77151.13,77145.3,579.05,582.05,500.0,2026-03-11 13:10:28.583228,TARGET_HIT,582.05,1500.0,300.980167,LONG_300S_PLUS,136,0.0,0.0,0.0,-6.25,-6.25,-6.25,13.150000000000091,-31.549999999999955,115.250765,4.358826,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277300PE|2026-03-11T13:15:00.438057,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277300PE,2026-03-11 13:15:00.438057,13:15:00,POST_1PM,2026-03-11 13:15:00,77072.94,77064.06,632.1,635.1,500.0,2026-03-11 13:15:02.573202,TARGET_HIT,635.1,1500.0,2.135145,SCALP_0_15S,1,3.3999999999999773,3.3999999999999773,3.3999999999999773,3.3999999999999773,3.3999999999999773,3.3999999999999773,3.3999999999999773,3.3999999999999773,2.135145,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631276900CE|2026-03-11T13:20:00.981570,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631276900CE,2026-03-11 13:20:00.981570,13:20:00,POST_1PM,2026-03-11 13:20:00,77108.09,77110.13,657.25,660.25,500.0,2026-03-11 13:20:53.812664,TARGET_HIT,660.25,1500.0,52.831094,SHORT_15_60S,24,0.6000000000000227,0.6000000000000227,0.6000000000000227,-1.5499999999999545,-4.0499999999999545,-6.0,3.9500000000000455,-6.0,4.398838,2.233627,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277000CE|2026-03-11T13:25:00.232323,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277000CE,2026-03-11 13:25:00.232323,13:25:00,POST_1PM,2026-03-11 13:25:00,77177.09,77177.94,634.65,637.65,500.0,2026-03-11 13:26:38.529685,TARGET_HIT,637.65,1500.0,98.297362,MEDIUM_60_300S,44,0.6000000000000227,0.6000000000000227,0.6000000000000227,-0.2999999999999545,-10.199999999999932,-15.850000000000023,4.350000000000023,-16.75,2.232566,6.674746,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277000CE|2026-03-11T13:30:03.857120,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277000CE,2026-03-11 13:30:03.857120,13:30:03,POST_1PM,2026-03-11 13:30:00,77235.59,77244.42,686.0,689.0,500.0,2026-03-11 13:30:13.487863,TARGET_HIT,689.0,1500.0,9.630743,SCALP_0_15S,4,0.2999999999999545,6.100000000000023,6.100000000000023,-1.6499999999999773,-1.6499999999999773,-1.6499999999999773,6.100000000000023,-1.6499999999999773,7.113802,2.2119,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277400PE|2026-03-11T13:35:05.154707,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277400PE,2026-03-11 13:35:05.154707,13:35:05,POST_1PM,2026-03-11 13:35:00,77218.89,77218.08,621.0,624.0,500.0,2026-03-11 13:35:24.599418,TARGET_HIT,624.0,1500.0,19.444711,SHORT_15_60S,9,1.1000000000000227,1.3999999999999773,2.3999999999999773,0.7999999999999545,-0.6499999999999773,-1.3999999999999773,4.0,-1.3999999999999773,2.164485,12.97738,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,STANDARD_WIN
2026-03-11,BFO:SENSEX2631277400PE|2026-03-11T13:40:25.234213,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277400PE,2026-03-11 13:40:25.234213,13:40:25,POST_1PM,2026-03-11 13:40:00,77170.82,77170.42,645.15,648.15,500.0,2026-03-11 13:40:29.517135,TARGET_HIT,648.15,1500.0,4.282922,SCALP_0_15S,2,3.5,3.5,3.5,1.7000000000000455,1.7000000000000455,1.7000000000000455,3.5,1.7000000000000455,2.126345,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277400PE|2026-03-11T13:45:21.063370,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277400PE,2026-03-11 13:45:21.063370,13:45:21,POST_1PM,2026-03-11 13:45:00,77166.25,77164.73,653.65,656.65,500.0,2026-03-11 13:45:58.238508,TARGET_HIT,656.65,1500.0,37.175138,SHORT_15_60S,17,2.0,2.0,2.0,-0.25,-4.850000000000023,-4.850000000000023,3.8500000000000227,-4.850000000000023,4.341101,6.608285,False,SHARP_DD_BUT_CONFIRMED,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277300PE|2026-03-11T13:50:02.006330,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277300PE,2026-03-11 13:50:02.006330,13:50:02,POST_1PM,2026-03-11 13:50:00,77145.23,77137.69,602.8,605.8,500.0,2026-03-11 13:50:08.594422,TARGET_HIT,605.8,1500.0,6.588092,SCALP_0_15S,3,2.3500000000000227,3.6000000000000227,3.6000000000000227,-0.14999999999997726,-0.14999999999997726,-0.14999999999997726,3.6000000000000227,-0.14999999999997726,4.423265,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277000CE|2026-03-11T13:55:14.449725,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277000CE,2026-03-11 13:55:14.449725,13:55:14,POST_1PM,2026-03-11 13:55:00,77171.28,77171.72,649.5,652.5,500.0,2026-03-11 13:55:36.078137,TARGET_HIT,652.5,1500.0,21.628412,SHORT_15_60S,10,2.0,2.0,2.0,2.0,0.14999999999997726,-1.2000000000000455,4.4500000000000455,-1.2000000000000455,2.17017,10.825403,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,STANDARD_WIN
2026-03-11,BFO:SENSEX2631277300PE|2026-03-11T14:00:14.080854,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277300PE,2026-03-11 14:00:14.080854,14:00:14,POST_1PM,2026-03-11 14:00:00,77151.63,77148.4,586.45,589.45,500.0,2026-03-11 14:00:18.508523,TARGET_HIT,589.45,1500.0,4.427669,SCALP_0_15S,2,3.5499999999999545,3.5499999999999545,3.5499999999999545,0.1999999999999318,0.1999999999999318,0.1999999999999318,3.5499999999999545,0.1999999999999318,4.427669,,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277300PE|2026-03-11T14:05:07.716205,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277300PE,2026-03-11 14:05:07.716205,14:05:07,POST_1PM,2026-03-11 14:05:00,77137.06,77133.28,585.0,588.0,500.0,2026-03-11 14:05:32.406159,TARGET_HIT,588.0,1500.0,24.689954,SHORT_15_60S,11,-1.6499999999999773,1.0499999999999545,1.0499999999999545,-2.8999999999999773,-2.8999999999999773,-2.8999999999999773,3.3500000000000227,-2.8999999999999773,6.761992,2.163599,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,STANDARD_WIN
2026-03-11,BFO:SENSEX2631277300PE|2026-03-11T14:10:05.581331,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277300PE,2026-03-11 14:10:05.581331,14:10:05,POST_1PM,2026-03-11 14:10:00,77058.87,77054.53,623.1,626.1,500.0,2026-03-11 14:18:48.368799,TARGET_HIT,626.1,1500.0,522.787468,LONG_300S_PLUS,241,-3.050000000000068,-3.050000000000068,-3.050000000000068,-4.850000000000023,-14.200000000000045,-14.200000000000045,13.649999999999977,-41.10000000000002,516.344235,2.155941,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277200PE|2026-03-11T14:21:27.309143,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277200PE,2026-03-11 14:21:27.309143,14:21:27,POST_1PM,2026-03-11 14:20:00,77006.9,77004.7,589.2,592.2,500.0,2026-03-11 14:21:33.776856,TARGET_HIT,592.2,1500.0,6.467713,SCALP_0_15S,3,0.09999999999990905,3.8999999999999773,3.8999999999999773,-1.650000000000091,-1.650000000000091,-1.650000000000091,3.8999999999999773,-1.650000000000091,6.467713,4.330236,False,CLEAN_EARLY_CONFIRM,SMALL_WIN,WIN,TARGET_HIT,CLEAN_MOMENTUM_SCALP_WIN
2026-03-11,BFO:SENSEX2631277100PE|2026-03-11T14:25:01.381647,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277100PE,2026-03-11 14:25:01.381647,14:25:01,POST_1PM,2026-03-11 14:25:00,76945.11,76944.23,565.3,568.3,500.0,2026-03-11 14:27:28.648135,TARGET_HIT,568.3,1500.0,147.266488,MEDIUM_60_300S,68,-2.2999999999999545,-2.2999999999999545,-2.2999999999999545,-2.349999999999909,-6.399999999999977,-10.199999999999932,7.650000000000091,-33.299999999999955,145.12733,2.148726,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277000CE|2026-03-11T14:30:02.958125,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,CALL,BFO:SENSEX2631277000CE,2026-03-11 14:30:02.958125,14:30:02,POST_1PM,2026-03-11 14:30:00,77192.45,77193.75,627.5,630.5,500.0,2026-03-11 14:30:13.928303,TARGET_HIT,630.5,1500.0,10.970178,SCALP_0_15S,5,-10.700000000000045,2.8500000000000227,6.649999999999977,-11.850000000000023,-11.850000000000023,-11.850000000000023,6.649999999999977,-11.850000000000023,6.442385,2.143183,False,SHARP_DD_BUT_CONFIRMED,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
2026-03-11,BFO:SENSEX2631277200PE|2026-03-11T14:35:02.646336,11Mar_trades.jsonl,UNKNOWN,UNKNOWN,PUT,BFO:SENSEX2631277200PE,2026-03-11 14:35:02.646336,14:35:02,POST_1PM,2026-03-11 14:35:00,77029.79,77021.97,569.2,572.2,500.0,2026-03-11 14:44:35.167382,TARGET_HIT,572.2,1500.0,572.521046,LONG_300S_PLUS,255,-0.900000000000091,-0.900000000000091,2.5,-4.400000000000091,-7.550000000000068,-7.550000000000068,8.799999999999955,-46.05000000000007,11.230569,4.456763,False,FAILED_EARLY_CONFIRM_AND_DD,SMALL_WIN,WIN,TARGET_HIT,RECOVERY_TARGET_WIN
