date,variant,entry_time,exit_time,direction,symbol,strike,expiry,sensex_at_entry,sensex_move_3s,entry_price,exit_price,points,gross_pnl,net_pnl,exit_reason,hold_seconds,mfe,mae,option_move_1s,option_move_3s,sync_passed,vacuum_available,vacuum_passed,spread_now,median_spread_10s,top_depth_now,median_top_depth_10s,time_bucket,regime
2026-04-28,A_impulse_only,2026-04-28T14:46:20,2026-04-28T14:46:21,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77099.57,28.14000000001397,371.0,369.85,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,1.6000000000000227,1.25,True,True,False,1.0499999999999545,1.0499999999999545,160.0,160.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T14:47:22,2026-04-28T14:47:23,CE,BFO:SENSEX26APR77200CE,77200,2026-04-30,77205.73,25.169999999998254,324.25,323.1,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,0.6999999999999886,1.0,True,True,False,0.44999999999998863,0.8499999999999943,100.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T14:48:58,2026-04-28T14:48:59,CE,BFO:SENSEX26APR77200CE,77200,2026-04-30,77193.39,27.05999999999767,337.55,337.05,-0.5,-250.0,-250.0,KILL_1S,1.0,0.0,-0.5,-0.6500000000000341,-0.5500000000000114,False,True,False,0.9499999999999886,0.8999999999999773,160.0,120.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T14:50:16,2026-04-28T14:50:19,CE,BFO:SENSEX26APR77300CE,77300,2026-04-30,77264.78,25.75999999999476,287.45,287.65,0.19999999999998863,99.99999999999432,99.99999999999432,KILL_3S,3.0,0.6000000000000227,0.0,0.6500000000000341,-1.599999999999966,True,True,False,0.8499999999999659,0.8499999999999943,260.0,180.0,14:00-15:00,choppy_fake_impulse
2026-04-28,A_impulse_only,2026-04-28T14:52:26,2026-04-28T14:52:27,PE,BFO:SENSEX26APR77200PE,77200,2026-04-30,77186.74,-27.129999999990105,493.65,493.5,-0.14999999999997726,-74.99999999998863,-74.99999999998863,KILL_1S,1.0,0.0,-0.14999999999997726,-0.25,-0.4500000000000455,False,True,False,1.3500000000000227,1.325000000000017,180.0,140.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T14:45:02,2026-04-28T14:45:03,CE,BFO:SENSEX26APR77200CE,77200,2026-04-30,77151.27,56.48000000001048,332.85,329.45,-3.400000000000034,-1700.000000000017,-1700.000000000017,STOP_HIT,1.0,0.0,-3.400000000000034,0.9000000000000341,0.5,True,True,False,0.7999999999999545,0.8499999999999659,180.0,120.0,14:00-15:00,clean_trend_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T14:45:31,2026-04-28T14:45:32,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77076.37,50.94999999999709,358.3,357.6,-0.6999999999999886,-349.9999999999943,-349.9999999999943,KILL_1S,1.0,0.0,-0.6999999999999886,3.0,-0.39999999999997726,True,True,False,0.75,1.0,120.0,120.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T14:46:04,2026-04-28T14:46:07,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77101.89,29.139999999999418,364.9,368.5,3.6000000000000227,1800.0000000000114,1800.0000000000114,TARGET_HIT,3.0,3.6000000000000227,0.0,1.5500000000000114,-2.25,True,True,False,0.9000000000000341,0.9250000000000114,120.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T14:46:20,2026-04-28T14:46:21,CE,BFO:SENSEX26APR77100CE,77100,2026-04-30,77099.57,28.14000000001397,371.0,369.85,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,1.6000000000000227,1.25,True,True,False,1.0499999999999545,1.0499999999999545,160.0,160.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T14:47:22,2026-04-28T14:47:23,CE,BFO:SENSEX26APR77200CE,77200,2026-04-30,77205.73,25.169999999998254,324.25,323.1,-1.1499999999999773,-574.9999999999886,-574.9999999999886,KILL_1S,1.0,0.0,-1.1499999999999773,0.6999999999999886,1.0,True,True,False,0.44999999999998863,0.8499999999999943,100.0,100.0,14:00-15:00,choppy_fake_impulse
2026-04-28,B_impulse_plus_option_sync,2026-04-28T14:50:16,2026-04-28T14:50:19,CE,BFO:SENSEX26APR77300CE,77300,2026-04-30,77264.78,25.75999999999476,287.45,287.65,0.19999999999998863,99.99999999999432,99.99999999999432,KILL_3S,3.0,0.6000000000000227,0.0,0.6500000000000341,-1.599999999999966,True,True,False,0.8499999999999659,0.8499999999999943,260.0,180.0,14:00-15:00,choppy_fake_impulse
2026-04-28,C_impulse_plus_sync_plus_liquidity_vacuum,2026-04-28T14:45:14,2026-04-28T14:45:17,PE,BFO:SENSEX26APR77000PE,77000,2026-04-30,76974.31,-49.93000000000757,405.45,403.45,-2.0,-1000.0,-1000.0,KILL_3S,3.0,0.9499999999999886,-2.0,0.7999999999999545,2.0499999999999545,True,True,True,0.5999999999999659,0.6999999999999886,80.0,160.0,14:00-15:00,liquidity_vacuum_impulse
2026-04-29,A_impulse_only,2026-04-29T15:09:07,2026-04-29T15:09:08,PE,BFO:SENSEX26APR77200PE,77200,2026-04-30,77198.33,-25.039999999993597,164.65,164.0,-0.6500000000000057,-325.00000000000284,-325.00000000000284,KILL_1S,1.0,0.0,-0.6500000000000057,-1.3500000000000227,-0.8000000000000114,False,True,False,0.5,0.4750000000000085,220.0,240.0,15:00-15:30,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T14:45:01,2026-04-30T14:45:02,PE,BFO:SENSEX26APR77000PE,77000,2026-04-30,76955.89,-58.320000000006985,12.55,12.05,-0.5,-250.0,-250.0,KILL_1S,1.0,0.0,-0.5,0.8500000000000014,0.9500000000000011,True,True,False,0.049999999999998934,0.05000000000000071,3580.0,2560.0,14:00-15:00,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T14:45:18,2026-04-30T14:45:19,CE,BFO:SENSEX26APR76800CE,76800,2026-04-30,76848.48,38.44999999999709,460.0,457.9,-2.1000000000000227,-1050.0000000000114,-1050.0000000000114,KILL_1S,1.0,0.0,-2.1000000000000227,-1.0,-1.3999999999999773,False,True,False,1.8500000000000227,1.8000000000000114,660.0,440.0,14:00-15:00,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T14:46:40,2026-04-30T14:46:41,PE,BFO:SENSEX26APR76800PE,76800,2026-04-30,76841.75,-31.00999999999476,3.05,3.0,-0.04999999999999982,-24.99999999999991,-24.99999999999991,KILL_1S,1.0,0.0,-0.04999999999999982,0.04999999999999982,0.0,True,True,False,0.050000000000000266,0.04999999999999982,25760.0,33040.0,14:00-15:00,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T14:47:01,2026-04-30T14:47:02,PE,BFO:SENSEX26APR76800PE,76800,2026-04-30,76779.06,-25.94000000000233,2.8,2.75,-0.04999999999999982,-24.99999999999991,-24.99999999999991,KILL_1S,1.0,0.0,-0.04999999999999982,-0.04999999999999982,-0.10000000000000009,False,True,False,0.04999999999999982,0.050000000000000044,33440.0,27750.0,14:00-15:00,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T14:49:29,2026-04-30T14:49:32,PE,BFO:SENSEX26APR76800PE,76800,2026-04-30,76775.71,-28.319999999992433,2.6,2.85,0.25,125.0,125.0,KILL_3S,3.0,0.2999999999999998,0.0,0.04999999999999982,0.19999999999999973,True,True,False,0.050000000000000266,0.04999999999999982,49200.0,56080.0,14:00-15:00,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T14:50:22,2026-04-30T14:50:23,PE,BFO:SENSEX26APR76700PE,76700,2026-04-30,76723.88,-37.20999999999185,2.9,2.85,-0.04999999999999982,-24.99999999999991,-24.99999999999991,KILL_1S,1.0,0.0,-0.04999999999999982,0.1499999999999999,0.5,True,True,False,0.04999999999999982,0.04999999999999982,41720.0,41700.0,14:00-15:00,late_session_impulse
2026-04-30,A_impulse_only,2026-04-30T14:58:39,2026-04-30T14:58:42,PE,BFO:SENSEX26APR76600PE,76600,2026-04-30,76565.29,-27.970000000001164,1.3,1.45,0.1499999999999999,74.99999999999996,74.99999999999996,KILL_3S,3.0,0.1499999999999999,0.0,0.0,0.050000000000000044,False,True,False,0.050000000000000044,0.050000000000000044,15680.0,18280.0,14:00-15:00,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T15:20:22,2026-04-30T15:20:23,PE,BFO:SENSEX26APR76700PE,76700,2026-04-30,76670.73,-28.029999999998836,0.2,0.15,-0.05000000000000002,-25.000000000000007,-25.000000000000007,KILL_1S,1.0,0.0,-0.05000000000000002,0.05000000000000002,0.05000000000000002,True,True,False,0.05000000000000002,0.05000000000000002,430380.0,501260.0,15:00-15:30,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T15:21:34,2026-04-30T15:21:35,PE,BFO:SENSEX26APR76600PE,76600,2026-04-30,76638.02,-30.089999999996508,0.1,0.1,0.0,0.0,0.0,KILL_1S,1.0,0.0,0.0,0.05,0.0,True,True,False,0.05,0.05,1722900.0,1713960.0,15:00-15:30,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T15:21:51,2026-04-30T15:21:54,CE,BFO:SENSEX26APR76700CE,76700,2026-04-30,76655.88,29.54000000000815,209.0,209.25,0.25,125.0,125.0,KILL_3S,3.0,0.75,0.0,0.8000000000000114,1.0500000000000114,True,True,False,0.549999999999983,0.5499999999999972,140.0,170.0,15:00-15:30,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T15:22:44,2026-04-30T15:22:45,CE,BFO:SENSEX26APR76700CE,76700,2026-04-30,76698.81,28.539999999993597,198.45,197.75,-0.6999999999999886,-349.9999999999943,-349.9999999999943,KILL_1S,1.0,0.0,-0.6999999999999886,0.09999999999999432,-0.15000000000000568,True,True,False,0.6500000000000057,0.5500000000000114,680.0,430.0,15:00-15:30,late_session_impulse
2026-04-30,A_impulse_only,2026-04-30T15:23:16,2026-04-30T15:23:17,CE,BFO:SENSEX26APR76700CE,76700,2026-04-30,76674.21,25.15000000000873,205.85,205.15,-0.6999999999999886,-349.9999999999943,-349.9999999999943,KILL_1S,1.0,0.0,-0.6999999999999886,0.10000000000002274,-0.09999999999999432,True,True,False,0.6499999999999773,0.6999999999999886,360.0,360.0,15:00-15:30,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T15:26:17,2026-04-30T15:26:27,CE,BFO:SENSEX26APR76600CE,76600,2026-04-30,76647.65,25.679999999993015,312.9,315.0,2.1000000000000227,1050.0000000000114,1050.0000000000114,MAX_HOLD,10.0,2.1000000000000227,0.0,0.39999999999997726,0.6000000000000227,True,True,False,0.8000000000000114,0.8249999999999886,760.0,340.0,15:00-15:30,choppy_fake_impulse
2026-04-30,A_impulse_only,2026-04-30T15:27:54,2026-04-30T15:27:56,PE,BFO:SENSEX26APR76600PE,76600,2026-04-30,76571.67,-27.24000000000524,0.05,0.05,0.0,0.0,0.0,KILL_1S,2.0,0.0,0.0,0.0,0.0,False,True,False,0.05,0.05,257820.0,257440.0,15:00-15:30,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T14:45:01,2026-04-30T14:45:02,PE,BFO:SENSEX26APR77000PE,77000,2026-04-30,76955.89,-58.320000000006985,12.55,12.05,-0.5,-250.0,-250.0,KILL_1S,1.0,0.0,-0.5,0.8500000000000014,0.9500000000000011,True,True,False,0.049999999999998934,0.05000000000000071,3580.0,2560.0,14:00-15:00,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T14:46:40,2026-04-30T14:46:41,PE,BFO:SENSEX26APR76800PE,76800,2026-04-30,76841.75,-31.00999999999476,3.05,3.0,-0.04999999999999982,-24.99999999999991,-24.99999999999991,KILL_1S,1.0,0.0,-0.04999999999999982,0.04999999999999982,0.0,True,True,False,0.050000000000000266,0.04999999999999982,25760.0,33040.0,14:00-15:00,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T14:49:29,2026-04-30T14:49:32,PE,BFO:SENSEX26APR76800PE,76800,2026-04-30,76775.71,-28.319999999992433,2.6,2.85,0.25,125.0,125.0,KILL_3S,3.0,0.2999999999999998,0.0,0.04999999999999982,0.19999999999999973,True,True,False,0.050000000000000266,0.04999999999999982,49200.0,56080.0,14:00-15:00,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T14:50:22,2026-04-30T14:50:23,PE,BFO:SENSEX26APR76700PE,76700,2026-04-30,76723.88,-37.20999999999185,2.9,2.85,-0.04999999999999982,-24.99999999999991,-24.99999999999991,KILL_1S,1.0,0.0,-0.04999999999999982,0.1499999999999999,0.5,True,True,False,0.04999999999999982,0.04999999999999982,41720.0,41700.0,14:00-15:00,late_session_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T15:20:22,2026-04-30T15:20:23,PE,BFO:SENSEX26APR76700PE,76700,2026-04-30,76670.73,-28.029999999998836,0.2,0.15,-0.05000000000000002,-25.000000000000007,-25.000000000000007,KILL_1S,1.0,0.0,-0.05000000000000002,0.05000000000000002,0.05000000000000002,True,True,False,0.05000000000000002,0.05000000000000002,430380.0,501260.0,15:00-15:30,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T15:21:34,2026-04-30T15:21:35,PE,BFO:SENSEX26APR76600PE,76600,2026-04-30,76638.02,-30.089999999996508,0.1,0.1,0.0,0.0,0.0,KILL_1S,1.0,0.0,0.0,0.05,0.0,True,True,False,0.05,0.05,1722900.0,1713960.0,15:00-15:30,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T15:21:51,2026-04-30T15:21:54,CE,BFO:SENSEX26APR76700CE,76700,2026-04-30,76655.88,29.54000000000815,209.0,209.25,0.25,125.0,125.0,KILL_3S,3.0,0.75,0.0,0.8000000000000114,1.0500000000000114,True,True,False,0.549999999999983,0.5499999999999972,140.0,170.0,15:00-15:30,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T15:22:44,2026-04-30T15:22:45,CE,BFO:SENSEX26APR76700CE,76700,2026-04-30,76698.81,28.539999999993597,198.45,197.75,-0.6999999999999886,-349.9999999999943,-349.9999999999943,KILL_1S,1.0,0.0,-0.6999999999999886,0.09999999999999432,-0.15000000000000568,True,True,False,0.6500000000000057,0.5500000000000114,680.0,430.0,15:00-15:30,late_session_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T15:23:16,2026-04-30T15:23:17,CE,BFO:SENSEX26APR76700CE,76700,2026-04-30,76674.21,25.15000000000873,205.85,205.15,-0.6999999999999886,-349.9999999999943,-349.9999999999943,KILL_1S,1.0,0.0,-0.6999999999999886,0.10000000000002274,-0.09999999999999432,True,True,False,0.6499999999999773,0.6999999999999886,360.0,360.0,15:00-15:30,choppy_fake_impulse
2026-04-30,B_impulse_plus_option_sync,2026-04-30T15:26:17,2026-04-30T15:26:27,CE,BFO:SENSEX26APR76600CE,76600,2026-04-30,76647.65,25.679999999993015,312.9,315.0,2.1000000000000227,1050.0000000000114,1050.0000000000114,MAX_HOLD,10.0,2.1000000000000227,0.0,0.39999999999997726,0.6000000000000227,True,True,False,0.8000000000000114,0.8249999999999886,760.0,340.0,15:00-15:30,choppy_fake_impulse
2026-04-30,C_impulse_plus_sync_plus_liquidity_vacuum,2026-04-30T15:23:17,2026-04-30T15:23:20,CE,BFO:SENSEX26APR76700CE,76700,2026-04-30,76685.22,25.919999999998254,205.15,205.95,0.799999999999983,399.9999999999915,399.9999999999915,KILL_3S,3.0,1.1999999999999886,0.0,0.549999999999983,0.19999999999998863,True,True,True,0.25,0.6999999999999886,60.0,360.0,15:00-15:30,liquidity_vacuum_impulse
2026-05-05,A_impulse_only,2026-05-05T14:45:02,2026-05-05T14:45:04,PE,BFO:SENSEX2650777000PE,77000,2026-05-07,77003.18,-100.54000000000815,376.75,375.9,-0.8500000000000227,-425.00000000001137,-425.00000000001137,KILL_1S,2.0,0.0,-0.8500000000000227,-5.100000000000023,-5.949999999999989,False,True,False,1.150000000000034,1.0,180.0,120.0,14:00-15:00,clean_trend_impulse
2026-05-05,A_impulse_only,2026-05-05T14:45:19,2026-05-05T14:45:21,PE,BFO:SENSEX2650776700PE,76700,2026-05-07,76745.5,-59.669999999998254,261.4,260.5,-0.8999999999999773,-449.99999999998863,-449.99999999998863,KILL_1S,2.0,0.0,-0.8999999999999773,0.0,1.5,False,True,False,0.8000000000000114,0.799999999999983,100.0,110.0,14:00-15:00,clean_trend_impulse
2026-05-05,A_impulse_only,2026-05-05T14:45:48,2026-05-05T14:45:49,CE,BFO:SENSEX2650776900CE,76900,2026-05-07,76867.68,25.59999999999127,532.8,531.85,-0.9499999999999318,-474.9999999999659,-474.9999999999659,KILL_1S,1.0,0.0,-0.9499999999999318,-12.149999999999977,-14.25,False,True,False,1.6999999999999318,1.6000000000000227,260.0,140.0,14:00-15:00,late_session_impulse
2026-05-05,A_impulse_only,2026-05-05T14:46:23,2026-05-05T14:46:31,PE,BFO:SENSEX2650776900PE,76900,2026-05-07,76927.72,-25.319999999992433,345.1,342.0,-3.1000000000000227,-1550.0000000000114,-1550.0000000000114,STOP_HIT,8.0,2.349999999999966,-3.1000000000000227,-0.30000000000001137,-3.150000000000034,False,True,False,0.9000000000000341,1.0,120.0,140.0,14:00-15:00,choppy_fake_impulse
2026-05-05,A_impulse_only,2026-05-05T14:47:04,2026-05-05T14:47:05,CE,BFO:SENSEX2650777000CE,77000,2026-05-07,77012.05,33.04000000000815,461.65,460.3,-1.349999999999966,-674.999999999983,-674.999999999983,KILL_1S,1.0,0.0,-1.349999999999966,-0.6999999999999886,1.1000000000000227,False,True,False,1.3000000000000114,1.25,80.0,80.0,14:00-15:00,choppy_fake_impulse
