threshold,objective_value,winner_giveback_ratio,exit_rate,total_policy_pnl,feasible,fold_id,calibration_date
0.65,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.7,-10400.00000000006,0.8106060606060606,1.0,-10400.00000000006,False,3,2026-04-15
0.75,-12150.00000000009,0.1106060606060617,0.07317073170731707,-12150.00000000009,False,3,2026-04-15
0.8,-10325.000000000073,0.0,0.0,-10325.000000000073,True,3,2026-04-15
0.85,-10325.000000000073,0.0,0.0,-10325.000000000073,True,3,2026-04-15
0.9,-10325.000000000073,0.0,0.0,-10325.000000000073,True,3,2026-04-15
0.1,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.15,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.2,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.25,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.3,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.35,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.4,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.45,-10424.999999999924,0.6113207547169797,1.0,-10424.999999999924,False,4,2026-04-16
0.5,-11924.999999999953,0.41886792452830063,0.7619047619047619,-11924.999999999953,False,4,2026-04-16
0.55,-7774.999999999935,0.2688679245283002,0.5714285714285714,-7774.999999999935,False,4,2026-04-16
0.6,-10824.999999999945,0.18301886792452748,0.38095238095238093,-10824.999999999945,False,4,2026-04-16
0.65,-13824.999999999949,0.11415094339622558,0.16666666666666666,-13824.999999999949,False,4,2026-04-16
0.7,-7149.999999999952,0.0,0.047619047619047616,-7149.999999999952,True,4,2026-04-16
0.75,-7774.999999999952,0.0,0.0,-7774.999999999952,True,4,2026-04-16
0.8,-7774.999999999952,0.0,0.0,-7774.999999999952,True,4,2026-04-16
0.85,-7774.999999999952,0.0,0.0,-7774.999999999952,True,4,2026-04-16
0.9,-7774.999999999952,0.0,0.0,-7774.999999999952,True,4,2026-04-16
0.1,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.15,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.2,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.25,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.3,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.35,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.4,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.45,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.5,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.55,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.6,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.65,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.7,-8100.00000000008,0.6224137931034507,1.0,-8100.00000000008,False,5,2026-04-17
0.75,-9375.000000000055,0.5758620689655187,0.9090909090909091,-9375.000000000055,False,5,2026-04-17
0.8,-15125.000000000171,0.022413793103447523,0.06818181818181818,-15125.000000000171,True,5,2026-04-17
0.85,-12500.00000000017,0.0,0.0,-12500.00000000017,True,5,2026-04-17
0.9,-12500.00000000017,0.0,0.0,-12500.00000000017,True,5,2026-04-17
0.1,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.15,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.2,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.25,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.3,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.35,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.4,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.45,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
0.5,-15975.000000000138,0.7703703703703771,1.0,-15975.000000000138,False,6,2026-04-20
