date,variant,candidate_count,selected_trades,gross_pnl,net_pnl,win_rate,avg_pnl,profit_factor,max_drawdown,target_hits,one_sec_kills,three_sec_kills,hard_stops,promoted_count,promoted_net_pnl
2026-04-28,ranked_score5_only,1190.0,786,-124144.00000000025,-124144.00000000025,0.18193384223918574,-157.9440203562344,0.6302586081087919,-134153.00000000026,11,572,196,6,786,-124144.00000000025
2026-04-28,candle_context_score3,979.0,566,-147700.00000000017,-147700.00000000017,0.17137809187279152,-260.9540636042406,0.5321581856479937,-144760.00000000015,31,425,105,2,96,96.99999999996362
2026-04-28,candle_context_score4,950.0,576,-141406.00000000064,-141406.00000000064,0.1857638888888889,-245.49652777777888,0.5461137235391338,-138328.00000000058,32,430,111,3,136,-16414.000000000393
2026-04-28,candle_context_plus_immediate_confirmation,944.0,557,-119985.99999999997,-119985.99999999997,0.1741472172351885,-215.4147217235188,0.5959604803243467,-125980.0,37,416,97,4,127,-7536.0000000001355
2026-04-29,actual_system,,39,-26199.999999999905,-26199.999999999905,0.358974358974359,-671.7948717948693,0.42606790799561994,-42124.99999999988,11,13,8,7,3,524.9999999999773
2026-04-29,naive_score3,121408.0,1252,-244383.00000000084,-244383.00000000084,0.19089456869009586,-195.19408945686968,0.7011972504322175,-295765.00000000064,67,892,278,11,202,-27602.000000000076
2026-04-29,ranked_top1_per_15s,1449.0,790,-134501.00000000017,-134501.00000000017,0.22151898734177214,-170.25443037974705,0.728207781080573,-171626.00000000047,42,551,188,8,147,-20887.000000000065
2026-04-29,ranked_score4_top1_per_15s,1441.0,814,-129807.00000000006,-129807.00000000006,0.22113022113022113,-159.46805896805904,0.746348831665214,-146809.99999999994,57,551,199,4,227,-23022.000000000076
2026-04-29,ranked_score5_only,1150.0,737,-102887.00000000055,-102887.00000000055,0.1926729986431479,-139.60244233378637,0.7307947920918487,-109432.00000000064,18,522,185,8,737,-102887.00000000055
2026-04-29,candle_context_score3,858.0,491,-201821.99999999936,-201821.99999999936,0.20570264765784113,-411.0427698574325,0.502657706609891,-208584.99999999936,26,340,117,7,97,-53429.99999999982
2026-04-29,candle_context_score4,835.0,498,-145726.99999999983,-145726.99999999983,0.20080321285140562,-292.62449799196753,0.5968445164967109,-148814.99999999983,30,351,110,7,130,-22034.00000000006
2026-04-29,candle_context_plus_immediate_confirmation,828.0,497,-195591.00000000052,-195591.00000000052,0.193158953722334,-393.5432595573451,0.4737664825482059,-202788.00000000067,36,347,99,13,122,-48825.999999999985
