impulse_type,impulse_horizon_seconds,underlying_threshold_points,entry_lag_seconds,strike_bucket,max_hold_seconds,spread_pct_threshold,depth_threshold,event_count,tradable_event_count,harvest_3pt_rate,avg_mfe,avg_mae,net_expectancy_after_0_5_cost,worst_day_expectancy
U_3S_20PTS,3,20.0,0,ATM,3,0.005,500,7,7,0.2857142857142857,2.992857142857141,-1.4785714285714298,1.192857142857142,1.192857142857142
ACCEL_SPIKE,3,20.0,0,ATM,3,0.005,500,7,7,0.2857142857142857,2.992857142857141,-1.4785714285714298,1.192857142857142,1.192857142857142
U_5S_30PTS,5,30.0,1,ATM,5,0.005,250,7,7,0.2857142857142857,3.5142857142857133,-1.9285714285714306,1.1785714285714286,-1.3000000000000114
U_1S_15PTS,1,15.0,0,ATM,10,0.01,500,7,7,0.2857142857142857,2.8785714285714294,-1.5785714285714292,1.1785714285714275,1.1785714285714275
U_1S_15PTS,1,15.0,2,ATM_100,5,0.01,250,33,33,0.21212121212121213,2.595454545454543,-1.065151515151515,1.1757575757575742,0.5149999999999993
U_1S_15PTS,1,15.0,3,ATM,10,0.005,500,1,1,0.0,1.6499999999999773,0.0,1.1499999999999773,1.1499999999999773
U_2S_20PTS,2,20.0,3,ATM,10,0.005,500,1,1,0.0,1.6499999999999773,0.0,1.1499999999999773,1.1499999999999773
U_3S_20PTS,3,20.0,0,ATM,5,0.005,500,7,7,0.2857142857142857,4.314285714285715,-1.9928571428571433,1.1357142857142821,1.1357142857142821
ACCEL_SPIKE,3,20.0,0,ATM,5,0.005,500,7,7,0.2857142857142857,4.314285714285715,-1.9928571428571433,1.1357142857142821,1.1357142857142821
U_1S_15PTS,1,15.0,2,ATM,10,0.01,500,7,7,0.14285714285714285,4.257142857142857,-1.25,1.1285714285714294,1.1285714285714294
U_5S_30PTS,5,30.0,3,ATM_100,10,0.005,500,6,6,0.3333333333333333,3.4833333333333343,-1.6249999999999993,1.125,1.125
U_2S_25PTS,2,25.0,2,ATM_200,10,0.015,500,5,5,0.4,2.5999999999999988,-0.7600000000000001,1.1199999999999997,1.1199999999999997
U_3S_20PTS,3,20.0,1,ATM,10,0.005,250,11,11,0.45454545454545453,5.781818181818184,-3.5363636363636313,1.1045454545454603,-7.399999999999977
U_2S_20PTS,2,20.0,1,ATM,3,0.01,250,11,11,0.36363636363636365,2.2454545454545474,-0.7772727272727287,1.0863636363636358,-2.6000000000000227
U_1S_15PTS,1,15.0,2,ATM,5,0.01,500,7,7,0.14285714285714285,2.9499999999999997,-1.1214285714285712,1.0785714285714267,1.0785714285714267
U_1S_20PTS,1,20.0,1,ATM,3,0.005,250,2,2,0.5,2.8000000000000043,0.0,1.07500000000001,1.07500000000001
U_1S_20PTS,1,20.0,1,ATM,3,0.01,250,2,2,0.5,2.8000000000000043,0.0,1.07500000000001,1.07500000000001
U_1S_20PTS,1,20.0,1,ATM,3,0.015,250,2,2,0.5,2.8000000000000043,0.0,1.07500000000001,1.07500000000001
U_5S_30PTS,5,30.0,1,ATM,5,0.01,250,8,8,0.25,3.2874999999999996,-1.9625000000000021,1.0749999999999993,-1.3000000000000114
U_5S_30PTS,5,30.0,1,ATM,5,0.015,250,8,8,0.25,3.2874999999999996,-1.9625000000000021,1.0749999999999993,-1.3000000000000114
U_2S_20PTS,2,20.0,1,ATM,3,0.015,250,12,12,0.3333333333333333,2.1666666666666683,-0.7125000000000012,1.0624999999999993,-2.6000000000000227
U_1S_10PTS,1,10.0,0,ATM,10,0.005,500,8,8,0.25,3.5812500000000007,-2.71875,1.0562499999999968,-0.36428571428571793
U_1S_15PTS,1,15.0,0,ATM,5,0.005,500,4,4,0.25,2.9375000000000036,-1.1374999999999993,1.0500000000000007,1.0500000000000007
U_1S_20PTS,1,20.0,0,ATM,5,0.005,500,4,4,0.25,2.9375000000000036,-1.1374999999999993,1.0500000000000007,1.0500000000000007
U_1S_20PTS,1,20.0,0,ATM,5,0.01,500,4,4,0.25,2.9375000000000036,-1.1374999999999993,1.0500000000000007,1.0500000000000007
U_1S_20PTS,1,20.0,0,ATM,5,0.015,500,4,4,0.25,2.9375000000000036,-1.1374999999999993,1.0500000000000007,1.0500000000000007
U_2S_15PTS,2,15.0,0,ATM,5,0.005,500,4,4,0.25,2.9375000000000036,-1.1374999999999993,1.0500000000000007,1.0500000000000007
U_2S_20PTS,2,20.0,0,ATM,5,0.005,500,4,4,0.25,2.9375000000000036,-1.1374999999999993,1.0500000000000007,1.0500000000000007
U_2S_20PTS,2,20.0,0,ATM,5,0.01,500,4,4,0.25,2.9375000000000036,-1.1374999999999993,1.0500000000000007,1.0500000000000007
U_5S_30PTS,5,30.0,0,ATM_100,10,0.01,500,5,5,0.2,3.749999999999999,-2.0700000000000003,1.05,1.05
U_1S_15PTS,1,15.0,2,ATM,5,0.015,500,9,9,0.1111111111111111,2.6166666666666667,-0.8722222222222221,1.0444444444444432,1.0444444444444432
U_2S_25PTS,2,25.0,0,ATM,3,0.01,250,5,5,0.4,2.120000000000002,-0.7900000000000006,1.0400000000000005,1.0400000000000005
U_2S_25PTS,2,25.0,0,ATM,3,0.015,250,5,5,0.4,2.120000000000002,-0.7900000000000006,1.0400000000000005,1.0400000000000005
U_3S_20PTS,3,20.0,1,ATM,5,0.01,250,16,16,0.25,3.168750000000001,-2.2468749999999957,1.0375000000000019,-7.399999999999977
U_3S_20PTS,3,20.0,1,ATM,5,0.005,500,3,3,0.3333333333333333,3.7666666666666706,-2.0666666666666678,1.033333333333336,1.033333333333336
U_1S_15PTS,1,15.0,0,ATM,10,0.015,500,9,9,0.2222222222222222,2.4611111111111117,-1.2833333333333339,1.027777777777777,1.027777777777777
